Rk;Player;Nation;Squad;Age;Born;MP;Starts;Min;90s;Gls;Ast;G+A;G-PK;PK;PKatt;CrdY;CrdR;xG;npxG;xAG;npxG+xAG;PrgC;PrgP;PrgR;Gls;Ast;G+A;G-PK;G+A-PK;xG;xAG;xG+xAG;npxG;npxG+xAG;Matches
Rk;Player;Nation;Squad;Age;Born;MP;Starts;Min;90s;Gls;Ast;G+A;G-PK;PK;PKatt;CrdY;CrdR;xG;npxG;xAG;npxG+xAG;PrgC;PrgP;PrgR;Gls;Ast;G+A;G-PK;G+A-PK;xG;xAG;xG+xAG;npxG;npxG+xAG;Matches
251;John McGinn;sct SCO;Aston Villa;30-347;1994;6;6;484;05.apr;1;0;1;1;0;0;1;0;0.6;0.6;0.7;01.mar;9;24;15;0.19;0.00;0.19;0.19;0.19;0.10;0.14;0.24;0.10;0.24;Matches
252;Dwight McNeil;eng ENG;Everton;25-312;1999;1;0;19;0.2;0;0;0;0;0;0;0;0;0.2;0.2;0.1;0.4;0;0;2;0.00;0.00;0.00;0.00;0.00;01.okt;0.64;jan.74;01.okt;jan.74;Matches
253;Hannibal Mejbri;tn TUN;Burnley;22-252;2003;6;3;249;02.aug;0;0;0;0;0;0;0;0;0.2;0.2;0.4;0.5;6;5;8;0.00;0.00;0.00;0.00;0.00;0.06;0.13;0.19;0.06;0.19;Matches
254;Mikel Merino;es ESP;Arsenal;29-100;1996;5;3;232;02.jun;1;0;1;1;0;0;0;0;0.2;0.2;0.1;0.3;5;9;8;0.39;0.00;0.39;0.39;0.39;0.07;0.04;0.11;0.07;0.11;Matches
255;Antoni Milambo;nl NED;Brentford;20-180;2005;1;1;45;0.5;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;1;3;1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches
256;Nikola Milenković;rs SRB;Nott'ham Forest;27-353;1997;6;6;540;6.0;0;0;0;0;0;0;1;0;0.1;0.1;0.3;0.4;4;18;0;0.00;0.00;0.00;0.00;0.00;0.01;0.05;0.06;0.01;0.06;Matches
257;Lewis Miley;eng ENG;Newcastle Utd;19-152;2006;4;1;166;01.aug;0;0;0;0;0;0;0;0;0.0;0.0;0.1;0.1;1;5;5;0.00;0.00;0.00;0.00;0.00;0.01;0.04;0.05;0.01;0.05;Matches
258;James Milner;eng ENG;Brighton;39-269;1986;4;1;125;01.apr;1;0;1;0;1;1;1;0;0.8;0.0;0.0;0.0;2;5;2;0.72;0.00;0.72;0.00;0.00;0.56;0.03;0.59;0.00;0.03;Matches
259;Veljko Milosavljević;rs SRB;Bournemouth;18-094;2007;1;1;90;1.0;0;0;0;0;0;0;0;0;0.0;0.0;0.1;0.1;0;3;0;0.00;0.00;0.00;0.00;0.00;0.00;0.06;0.06;0.00;0.06;Matches
260;Tyrone Mings;eng ENG;Aston Villa;32-201;1993;6;6;482;05.apr;0;0;0;0;0;0;0;0;0.3;0.3;0.1;0.4;1;27;3;0.00;0.00;0.00;0.00;0.00;0.05;0.02;0.07;0.05;0.07;Matches
261;Yankuba Minteh;gm GAM;Brighton;21-070;2004;6;6;504;05.jun;1;2;3;1;0;0;0;0;01.jun;01.jun;01.aug;03.apr;30;5;46;0.18;0.36;0.54;0.18;0.54;0.29;0.33;0.61;0.29;0.61;Matches
262;Tyrick Mitchell;eng ENG;Crystal Palace;26-029;1999;6;6;540;6.0;1;0;1;1;0;0;2;0;0.3;0.3;0.6;0.9;15;10;43;0.17;0.00;0.17;0.17;0.17;0.05;0.10;0.15;0.05;0.15;Matches
263;Kaoru Mitoma;jp JPN;Brighton;28-133;1997;6;6;510;05.jul;1;1;2;1;0;0;1;0;0.8;0.8;01.jan;01.aug;13;13;37;0.18;0.18;0.35;0.18;0.35;0.13;0.19;0.32;0.13;0.32;Matches
264;Morato;br BRA;Nott'ham Forest;24-092;2001;3;3;270;3.0;0;0;0;0;0;0;1;0;0.0;0.0;0.0;0.0;1;12;0;0.00;0.00;0.00;0.00;0.00;0.01;0.00;0.01;0.01;0.01;Matches
265;Cristhian Mosquera;es ESP;Arsenal;21-095;2004;4;2;246;02.jul;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;2;5;1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches
266;Yerson Mosquera;co COL;Wolves;24-151;2001;2;2;138;01.mai;0;0;0;0;0;0;0;0;0.1;0.1;0.0;0.1;1;0;0;0.00;0.00;0.00;0.00;0.00;0.04;0.00;0.04;0.04;0.04;Matches
267;Mason Mount;eng ENG;Manchester Utd;26-263;1999;5;3;208;02.mar;0;0;0;0;0;0;0;0;0.2;0.2;0.4;0.6;3;14;9;0.00;0.00;0.00;0.00;0.00;0.08;0.17;0.25;0.08;0.25;Matches
268;Nordi Mukiele;fr FRA;Sunderland;27-333;1997;4;4;360;4.0;0;0;0;0;0;0;0;0;0.1;0.1;0.3;0.4;2;9;2;0.00;0.00;0.00;0.00;0.00;0.04;0.06;0.10;0.04;0.10;Matches
269;Marshall Munetsi;zw ZIM;Wolves;29-100;1996;6;4;429;04.aug;0;1;1;0;0;0;1;0;0.5;0.5;0.4;1.0;4;8;14;0.00;0.21;0.21;0.00;0.21;0.11;0.09;0.20;0.11;0.20;Matches
270;Rodrigo Muniz;br BRA;Fulham;24-149;2001;5;4;319;03.mai;1;1;2;1;0;0;1;0;0.9;0.9;0.3;01.feb;0;2;7;0.28;0.28;0.56;0.28;0.56;0.27;0.08;0.34;0.27;0.34;Matches
271;Daniel Muñoz;co COL;Crystal Palace;29-127;1996;6;6;540;6.0;0;1;1;0;0;0;2;0;0.7;0.7;01.jun;02.mar;8;12;34;0.00;0.17;0.17;0.00;0.17;0.12;0.27;0.39;0.12;0.39;Matches
272;Murillo;br BRA;Nott'ham Forest;23-088;2002;4;4;307;03.apr;0;0;0;0;0;0;1;0;0.0;0.0;0.0;0.0;2;26;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches
273;Jacob Murphy;eng ENG;Newcastle Utd;30-218;1995;5;4;293;03.mar;0;1;1;0;0;0;0;0;01.feb;01.feb;0.2;01.mar;7;8;35;0.00;0.31;0.31;0.00;0.31;0.36;0.05;0.41;0.36;0.41;Matches
274;Vitaliy Mykolenko;ua UKR;Everton;26-124;1999;3;3;266;3.0;0;0;0;0;0;0;1;0;0.0;0.0;0.0;0.0;1;17;11;0.00;0.00;0.00;0.00;0.00;0.00;0.02;0.02;0.00;0.02;Matches
275;David Møller Wolfe;no NOR;Wolves;23-160;2002;3;2;131;01.mai;0;1;1;0;0;0;0;0;0.0;0.0;0.3;0.3;3;2;7;0.00;0.69;0.69;0.00;0.69;0.00;0.18;0.18;0.00;0.18;Matches
Rk;Player;Nation;Squad;Age;Born;MP;Starts;Min;90s;Gls;Ast;G+A;G-PK;PK;PKatt;CrdY;CrdR;xG;npxG;xAG;npxG+xAG;PrgC;PrgP;PrgR;Gls;Ast;G+A;G-PK;G+A-PK;xG;xAG;xG+xAG;npxG;npxG+xAG;Matches
276;Iliman Ndiaye;sn SEN;Everton;25-208;2000;6;6;501;05.jun;2;1;3;2;0;0;1;0;01.apr;01.apr;0.8;02.feb;15;10;27;0.36;0.18;0.54;0.36;0.54;0.25;0.15;0.40;0.25;0.40;Matches
277;Dan Ndoye;ch SUI;Nott'ham Forest;24-340;2000;6;6;434;04.aug;1;1;2;1;0;0;0;0;0.2;0.2;0.5;0.7;28;8;51;0.21;0.21;0.41;0.21;0.41;0.03;0.11;0.14;0.03;0.14;Matches
278;Pedro Neto;pt POR;Chelsea;25-205;2000;6;6;437;04.sep;1;0;1;1;0;0;0;0;0.6;0.6;0.9;01.mai;22;16;49;0.21;0.00;0.21;0.21;0.21;0.12;0.19;0.31;0.12;0.31;Matches
279;Rio Ngumoha;eng ENG;Liverpool;17-032;2008;2;0;9;0.1;1;0;1;1;0;0;0;0;0.4;0.4;0.1;0.4;4;0;7;10.00;0.00;10.00;10.00;10.00;feb.66;0.53;mar.19;feb.66;mar.19;Matches
280;Eddie Nketiah;eng ENG;Crystal Palace;26-123;1999;2;0;30;0.3;1;0;1;1;0;0;1;0;0.6;0.6;0.1;0.7;0;1;1;3.00;0.00;3.00;3.00;3.00;jan.72;0.34;02.jun;jan.72;02.jun;Matches
281;Lukas Nmecha;de GER;Leeds United;26-290;1998;4;1;135;01.mai;1;0;1;0;1;1;0;0;0.9;0.2;0.0;0.2;1;1;7;0.67;0.00;0.67;0.00;0.00;0.58;0.00;0.58;0.11;0.11;Matches
282;Matheus Nunes;pt POR;Manchester City;27-034;1998;4;2;244;02.jul;1;0;1;1;0;0;0;0;0.2;0.2;0.0;0.2;6;12;9;0.37;0.00;0.37;0.37;0.37;0.07;0.00;0.07;0.07;0.07;Matches
283;Ethan Nwaneri;eng ENG;Arsenal;18-193;2007;3;0;130;01.apr;0;0;0;0;0;0;0;0;0.2;0.2;0.0;0.2;5;10;5;0.00;0.00;0.00;0.00;0.00;0.11;0.03;0.14;0.11;0.14;Matches
284;Jake O'Brien;ie IRL;Everton;24-138;2001;6;6;540;6.0;0;0;0;0;0;0;0;0;0.4;0.4;0.0;0.4;7;15;18;0.00;0.00;0.00;0.00;0.00;0.06;0.01;0.07;0.06;0.07;Matches
285;Matt O'Riley;dk DEN;Brighton;24-313;2000;2;2;178;2.0;1;0;1;0;1;1;0;0;01.feb;0.4;0.2;0.6;0;5;11;0.51;0.00;0.51;0.00;0.00;0.61;0.10;0.72;0.21;0.32;Matches
286;Wilson Odobert;fr FRA;Tottenham;20-306;2004;6;1;153;01.jul;0;0;0;0;0;0;0;0;0.4;0.4;0.1;0.5;6;12;15;0.00;0.00;0.00;0.00;0.00;0.21;0.07;0.28;0.21;0.28;Matches
287;Noah Okafor;ch SUI;Leeds United;25-129;2000;4;3;230;02.jun;1;0;1;1;0;0;1;0;0.4;0.4;0.3;0.7;5;9;15;0.39;0.00;0.39;0.39;0.39;0.15;0.11;0.26;0.15;0.26;Matches
288;Amadou Onana;be BEL;Aston Villa;24-045;2001;2;2;154;01.jul;0;0;0;0;0;0;1;0;0.2;0.2;0.0;0.2;2;8;1;0.00;0.00;0.00;0.00;0.00;0.13;0.00;0.13;0.13;0.13;Matches
289;Frank Onyeka;ng NGA;Brentford;27-272;1998;4;0;70;0.8;0;1;1;0;0;0;0;0;0.0;0.0;0.1;0.1;2;2;1;0.00;jan.29;jan.29;0.00;jan.29;0.00;0.15;0.15;0.00;0.15;Matches
290;William Osula;dk DEN;Newcastle Utd;22-057;2003;5;1;158;01.aug;1;0;1;1;0;0;0;0;0.4;0.4;0.1;0.5;1;1;10;0.57;0.00;0.57;0.57;0.57;0.22;0.04;0.27;0.22;0.27;Matches
291;Dango Ouattara;bf BFA;Brentford;23-231;2002;5;3;291;03.feb;1;0;1;1;0;0;0;0;01.apr;01.apr;0.2;01.jun;9;1;20;0.31;0.00;0.31;0.31;0.31;0.43;0.07;0.50;0.43;0.50;Matches
292;Nico O’Reilly;eng ENG;Manchester City;20-193;2005;5;3;302;03.apr;0;0;0;0;0;0;1;0;0.1;0.1;0.1;0.2;7;9;12;0.00;0.00;0.00;0.00;0.00;0.03;0.03;0.06;0.03;0.06;Matches
293;João Palhinha;pt POR;Tottenham;30-083;1995;6;5;424;04.jul;2;0;2;2;0;0;1;0;0.4;0.4;0.0;0.5;1;14;6;0.42;0.00;0.42;0.42;0.42;0.09;0.01;0.10;0.09;0.10;Matches
294;Cole Palmer;eng ENG;Chelsea;23-147;2002;3;2;145;01.jun;1;0;1;1;0;0;0;0;0.8;0.8;0.0;0.8;9;11;14;0.62;0.00;0.62;0.62;0.62;0.50;0.01;0.51;0.50;0.51;Matches
295;Lucas Paquetá;br BRA;West Ham;28-034;1997;6;6;518;05.aug;2;0;2;1;1;1;1;0;01.mai;0.8;0.4;01.feb;3;40;24;0.35;0.00;0.35;0.17;0.17;0.27;0.07;0.34;0.13;0.20;Matches
296;Bradley Paul Burrowes;eng ENG;Aston Villa;17-210;2008;1;0;16;0.2;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;1;0;4;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches
297;Lucas Perri;br BRA;Leeds United;27-294;1997;3;3;270;3.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches
298;Đorđe Petrović;rs SRB;Bournemouth;25-357;1999;6;6;540;6.0;0;0;0;0;0;0;1;0;0.0;0.0;0.0;0.0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches
299;Jordan Pickford;eng ENG;Everton;31-207;1994;6;6;540;6.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches
300;Ethan Pinnock;jm JAM;Brentford;32-124;1993;2;2;157;01.jul;0;0;0;0;0;0;1;0;0.0;0.0;0.0;0.0;0;2;2;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches
Rk;Player;Nation;Squad;Age;Born;MP;Starts;Min;90s;Gls;Ast;G+A;G-PK;PK;PKatt;CrdY;CrdR;xG;npxG;xAG;npxG+xAG;PrgC;PrgP;PrgR;Gls;Ast;G+A;G-PK;G+A-PK;xG;xAG;xG+xAG;npxG;npxG+xAG;Matches
301;Yeremi Pino;es ESP;Crystal Palace;22-345;2002;4;3;222;02.mai;0;0;0;0;0;0;0;0;01.jan;01.jan;0.7;01.aug;5;15;18;0.00;0.00;0.00;0.00;0.00;0.44;0.30;0.75;0.44;0.75;Matches
302;Joël Piroe;nl NED;Leeds United;26-059;1999;2;2;136;01.mai;0;0;0;0;0;0;0;0;0.3;0.3;0.0;0.3;0;1;3;0.00;0.00;0.00;0.00;0.00;0.22;0.00;0.22;0.22;0.22;Matches
303;Nick Pope;eng ENG;Newcastle Utd;33-164;1992;6;6;540;6.0;0;0;0;0;0;0;1;0;0.0;0.0;0.0;0.0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches
304;Pedro Porro;es ESP;Tottenham;26-017;1999;6;5;458;05.jan;0;0;0;0;0;0;1;0;0.1;0.1;0.7;0.8;13;24;10;0.00;0.00;0.00;0.00;0.00;0.02;0.14;0.16;0.02;0.16;Matches
305;Freddie Potts;eng ENG;West Ham;22-018;2003;2;0;76;0.8;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;1;1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches
306;Jacob Ramsey;eng ENG;Newcastle Utd;24-125;2001;2;1;59;0.7;0;0;0;0;0;0;0;0;0.0;0.0;0.3;0.3;3;5;4;0.00;0.00;0.00;0.00;0.00;0.04;0.42;0.46;0.04;0.46;Matches
307;David Raya;es ESP;Arsenal;30-015;1995;6;6;540;6.0;0;0;0;0;0;0;1;0;0.0;0.0;0.1;0.1;0;3;0;0.00;0.00;0.00;0.00;0.00;0.00;0.01;0.01;0.00;0.01;Matches
308;Tijjani Reijnders;nl NED;Manchester City;27-063;1998;6;6;533;05.sep;1;2;3;1;0;0;1;0;0.9;0.9;1.0;01.aug;16;24;23;0.17;0.34;0.51;0.17;0.51;0.15;0.16;0.31;0.15;0.31;Matches
309;Declan Rice;eng ENG;Arsenal;26-259;1999;6;5;465;05.feb;0;2;2;0;0;0;0;0;0.1;0.1;01.jan;01.feb;12;31;8;0.00;0.39;0.39;0.00;0.39;0.03;0.21;0.24;0.03;0.24;Matches
310;Chris Richards;us USA;Crystal Palace;25-186;2000;6;6;540;6.0;0;0;0;0;0;0;0;0;0.3;0.3;0.0;0.3;2;10;1;0.00;0.00;0.00;0.00;0.00;0.04;0.00;0.05;0.04;0.05;Matches
311;Richarlison;br BRA;Tottenham;28-143;1997;6;5;438;04.sep;3;1;4;3;0;0;1;0;01.jun;01.jun;0.8;02.apr;7;9;17;0.62;0.21;0.82;0.62;0.82;0.33;0.16;0.49;0.33;0.49;Matches
312;Chris Rigg;eng ENG;Sunderland;18-104;2007;2;2;96;01.jan;0;0;0;0;0;0;0;0;0.1;0.1;0.0;0.1;0;1;3;0.00;0.00;0.00;0.00;0.00;0.10;0.03;0.14;0.10;0.14;Matches
313;Patrick Roberts;eng ENG;Sunderland;28-237;1997;1;0;27;0.3;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;1;1;4;0.00;0.00;0.00;0.00;0.00;0.11;0.00;0.11;0.11;0.11;Matches
314;Andrew Robertson;sct SCO;Liverpool;31-203;1994;2;0;82;0.9;0;0;0;0;0;0;0;0;0.1;0.1;0.3;0.4;3;9;9;0.00;0.00;0.00;0.00;0.00;0.11;0.35;0.46;0.11;0.46;Matches
315;Antonee Robinson;us USA;Fulham;28-053;1997;3;0;61;0.7;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;4;5;10;0.00;0.00;0.00;0.00;0.00;0.00;0.04;0.04;0.00;0.04;Matches
316;Joe Rodon;wls WAL;Leeds United;27-343;1997;6;6;540;6.0;1;0;1;1;0;0;0;0;0.3;0.3;0.0;0.3;2;19;0;0.17;0.00;0.17;0.17;0.17;0.05;0.00;0.05;0.05;0.05;Matches
317;Rodri;es ESP;Manchester City;29-100;1996;4;3;271;3.0;0;0;0;0;0;0;0;0;0.1;0.1;0.1;0.2;4;19;5;0.00;0.00;0.00;0.00;0.00;0.05;0.03;0.07;0.05;0.07;Matches
318;Guido Rodríguez;ar ARG;West Ham;31-171;1994;1;1;71;0.8;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;4;3;0.00;0.00;0.00;0.00;0.00;0.03;0.00;0.03;0.03;0.03;Matches
319;Robin Roefs;nl NED;Sunderland;22-256;2003;6;6;540;6.0;0;0;0;0;0;0;1;0;0.0;0.0;0.2;0.2;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.03;0.03;0.00;0.03;Matches
320;Morgan Rogers;eng ENG;Aston Villa;23-066;2002;6;6;532;05.sep;0;1;1;0;0;0;0;0;0.2;0.2;0.9;01.jan;10;18;36;0.00;0.17;0.17;0.00;0.17;0.04;0.15;0.19;0.04;0.19;Matches
321;Merlin Röhl;de GER;Everton;23-087;2002;1;0;24;0.3;0;0;0;0;0;0;0;0;0.0;0.0;0.1;0.1;0;1;5;0.00;0.00;0.00;0.00;0.00;0.10;0.26;0.36;0.10;0.36;Matches
322;Cristian Romero;ar ARG;Tottenham;27-156;1998;6;6;540;6.0;0;1;1;0;0;0;2;0;0.1;0.1;0.2;0.2;2;28;0;0.00;0.17;0.17;0.00;0.17;0.02;0.03;0.04;0.02;0.04;Matches
323;Georginio Rutter;fr FRA;Brighton;23-163;2002;5;4;325;03.jun;0;1;1;0;0;0;1;0;0.1;0.1;01.feb;01.apr;7;11;14;0.00;0.28;0.28;0.00;0.28;0.04;0.34;0.38;0.04;0.38;Matches
324;José Sá;pt POR;Wolves;32-256;1993;4;4;360;4.0;0;0;0;0;0;0;0;0;0.0;0.0;0.1;0.1;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.02;0.02;0.00;0.02;Matches
325;Noah Sadiki;cd COD;Sunderland;20-287;2004;6;6;534;05.sep;0;0;0;0;0;0;2;0;0.1;0.1;0.1;0.2;11;15;21;0.00;0.00;0.00;0.00;0.00;0.02;0.02;0.04;0.02;0.04;Matches
Rk;Player;Nation;Squad;Age;Born;MP;Starts;Min;90s;Gls;Ast;G+A;G-PK;PK;PKatt;CrdY;CrdR;xG;npxG;xAG;npxG+xAG;PrgC;PrgP;PrgR;Gls;Ast;G+A;G-PK;G+A-PK;xG;xAG;xG+xAG;npxG;npxG+xAG;Matches
326;Bukayo Saka;eng ENG;Arsenal;24-025;2001;4;3;258;02.sep;1;0;1;1;0;0;0;0;0.4;0.4;0.2;0.6;17;4;36;0.35;0.00;0.35;0.35;0.35;0.13;0.08;0.21;0.13;0.21;Matches
327;Mohamed Salah;eg EGY;Liverpool;33-107;1992;6;6;540;6.0;2;2;4;1;1;1;0;0;01.jul;0.9;0.7;01.jul;19;20;67;0.33;0.33;0.67;0.17;0.50;0.28;0.12;0.41;0.15;0.28;Matches
328;William Saliba;fr FRA;Arsenal;24-190;2001;5;4;320;03.jun;0;0;0;0;0;0;0;0;0.1;0.1;0.1;0.2;1;11;1;0.00;0.00;0.00;0.00;0.00;0.03;0.02;0.05;0.03;0.05;Matches
329;Robert Sánchez;es ESP;Chelsea;27-316;1997;6;6;454;5.0;0;0;0;0;0;0;0;1;0.0;0.0;0.1;0.1;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.01;0.01;0.00;0.01;Matches
330;Jadon Sancho;eng ENG;Aston Villa;25-189;2000;1;0;8;0.1;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;1;3;6;0.00;0.00;0.00;0.00;0.00;0.21;0.00;0.21;0.21;0.21;Matches
331;Ibrahim Sangaré;ci CIV;Nott'ham Forest;27-302;1997;5;4;354;03.sep;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;3;22;1;0.00;0.00;0.00;0.00;0.00;0.01;0.00;0.01;0.01;0.01;Matches
332;Andrey Santos;br BRA;Chelsea;21-150;2004;5;1;171;01.sep;0;0;0;0;0;0;1;0;0.4;0.4;0.1;0.5;4;12;7;0.00;0.00;0.00;0.00;0.00;0.21;0.04;0.25;0.21;0.25;Matches
333;Ismaila Sarr;sn SEN;Crystal Palace;27-217;1998;4;4;345;03.aug;3;0;3;3;0;0;1;0;02.jul;02.jul;0.3;3.0;8;12;17;0.78;0.00;0.78;0.78;0.78;0.72;0.07;0.79;0.72;0.79;Matches
